tractID,rent2000,value2000,income2000,rent2012,value2012,income2012,Gross Rent,Home Value,Household Income,rentError2012,valueError2012,incomeError2012
48453001835,784.2715142,84942.81645,42003.2956,1059,115400,45918,0.350297672,0.358561028,0.093199935,113,3594,4121
48453000700,734.9213299,277673.6015,27669.1295,991,317100,39018,0.348443649,0.141988285,0.410163626,106,75355,8886
48453002201,718.0076467,75613.78417,42501.42359,967,101500,37159,0.346782314,0.342347842,-0.125699874,130,14006,9672
48453002310,604.9358839,81091.40527,30312.7872,814,37700,24776,0.345597148,-0.535092531,-0.182655167,91,30913,9869
48453001821,764,95200,47471,1028,145800,44481,0.345549738,0.531512605,-0.062985823,82,6954,6634
48491020404,1122,107900,67500,1508,167100,85119,0.34402852,0.548656163,0.261022222,285,4545,13560
48453001741,844.2530874,183543.6014,55196.66711,1133,291000,83342,0.342014636,0.585454343,0.509910006,335,43765,22893
48453001602,571.8376819,202151.5895,32053.94446,766,516300,51778,0.339540965,1.554023945,0.615339418,89,79321,10328
48453001503,635,102500,33160,850,209700,45398,0.338582677,1.045853659,0.369059107,121,13147,13743
48453001919,1000.496198,299587.6947,110081.1327,1339,594800,148333,0.338335921,0.985395297,0.347487952,543,43863,13886
48453001747,796,117700,51113,1064,177700,57361,0.336683417,0.509770603,0.122238961,81,10429,6031
48453002422,693.4726773,87675.30571,43799.76807,925,157600,36419,0.333866539,0.797541494,-0.168511579,85,3913,9547
48453001765,818.3889099,182590.7224,76372.08556,1090,344100,105033,0.331885106,0.884542629,0.375279976,57,17305,11425
48453001911,846.2736612,342972.02,40434.56073,1122,265700,55526,0.325812266,-0.225301236,0.373231191,36,66679,7292
48491020510,1011.524366,177911.9237,85882.30101,1339,239400,111197,0.323744682,0.345609643,0.294760372,224,9764,11877
48453002412,855,69900,40464,1125,97800,47232,0.315789474,0.399141631,0.167259786,92,2780,4328
48453002003,593.0001505,74800.0222,31538.00841,780,141400,43887,0.315345366,0.89037377,0.391559018,32,18282,5129
48453001729,878,96800,55313,1154,163100,70222,0.314350797,0.684917355,0.269538806,100,4557,6770
48453002304,648.2730764,12877.00327,27519.82859,852,126300,34786,0.314260967,8.808182645,0.264034036,28,88294,4494
48453001745,826,166700,70096,1084,253000,89427,0.312348668,0.517696461,0.275778932,120,15268,16467
48453001782,887.0020786,222800.4647,95070.19702,1163,372600,113333,0.311158145,0.672348397,0.192098087,64,12408,18650
48453002428,811,174600,60517,1060,239200,54575,0.30702836,0.369988545,-0.098187286,155,41183,13507
48453002312,646.9989321,50400.83719,28725.08005,843,88700,29500,0.302938781,0.759891402,0.026977121,81,24594,5508
48453000307,663,139600,35184,863,311500,60942,0.301659125,1.231375358,0.732094134,97,36931,13382
48453001505,697,114700,37764,907,259900,49239,0.301291248,1.265911072,0.30386082,151,14111,11040
48491020411,873.0127691,139793.5892,69364.88418,1135,209200,82345,0.300095531,0.496492086,0.187128054,114,10984,3907
48453002411,758.5574832,67799.65262,37268.55392,986,107000,36168,0.299835572,0.578179178,-0.029530363,76,8576,5826
48453001833,732,91600,46386,950,136300,49390,0.297814208,0.487991266,0.064760919,45,8550,8039
48453002313,655.2788138,100899.545,30609.83385,848,156700,32965,0.294105627,0.553029797,0.076941487,62,28432,3528
48453002106,637,91200,44405,822,194500,55590,0.290423862,1.132675439,0.251886049,205,11307,3545
48453000205,602,154400,31207,776,289200,44375,0.289036545,0.873056995,0.421956612,64,41627,7844
48453001772,1208,179200,92426,1554,173400,68333,0.286423841,-0.032366071,-0.260673404,300,9113,18137
48453000401,740.9952866,138002.9402,32718.65258,951,283000,39469,0.283408973,1.050680946,0.206314957,46,31359,2435
48453001834,735.3697084,105892.2283,45247.55851,943,174500,55649,0.28234817,0.64790186,0.229878514,47,9616,6508
48453001776,1054.863015,109027.0489,59824.69012,1351,162400,79125,0.280735016,0.48953862,0.322614456,54,7147,2331
48453002423,880.9514329,98293.08626,59039.88946,1125,142600,59897,0.277028401,0.450763278,0.014517482,138,7939,6584
48453001805,545,86400,28321,695,120100,33295,0.275229358,0.390046296,0.175629392,62,11469,8327
48453000304,669,143300,32259,853,289000,41229,0.275037369,1.016748081,0.278061936,54,73651,12267
48453002307,681.8123111,84918.67648,29366.65672,865,132000,32891,0.268677591,0.554428372,0.12001173,38,13574,3366
48453002409,918,86000,44675,1163,141600,48164,0.266884532,0.646511628,0.07809737,83,11181,11751
48453001604,1113,374100,100824,1403,734500,135750,0.260557053,0.963378776,0.346405618,233,57078,28398
48453000305,669,143300,32259,838,299700,37734,0.252615845,1.091416609,0.169720078,94,34715,8267
48453002004,688,120100,31366,861,283100,30264,0.251453488,1.357202331,-0.035133584,22,33048,5918
48453002430,806,73900,42115,1007,100900,41619,0.249379653,0.365358593,-0.011777277,198,15856,8354
48453001813,623.1267489,104564.1526,37392.8073,778,122700,32774,0.248542133,0.173442303,-0.123521277,30,29964,3135
48453002315,637,114700,22363,794,140600,30642,0.246467818,0.225806452,0.370209721,71,29196,2913
48453001822,664,80100,36159,825,141600,32002,0.24246988,0.767790262,-0.114964463,85,11707,3782
48453001804,614.7222663,91081.36392,31307.10624,763,147700,33223,0.241210937,0.621627012,0.061196769,29,15017,3872
48453001818,700.2288717,101548.8854,39769.42687,869,211700,50108,0.241022807,1.084710228,0.259962839,57,15101,11543
48453002316,629,112500,21411,779,-,25654,0.238473768,,0.198169165,28,**,3835
48491020503,770.7454439,133214.2066,79322.13553,945,187200,88051,0.226085743,0.405255526,0.110043236,509,6715,6839
48453001847,884.0517121,111404.584,60135.64451,1082,184700,76635,0.223910304,0.657921007,0.274368981,82,11225,14250
48453002421,875.9027727,107954.8404,58079.67647,1072,157500,55881,0.223880131,0.458943382,-0.037856211,66,10346,3759
48453001817,669.9999589,135599.9543,41660.99394,819,207000,46623,0.222388135,0.526549187,0.119104361,117,20582,4486
48453001819,678,107800,33769,827,153900,29093,0.219764012,0.427643785,-0.138470195,62,18049,5480
48453002314,696,82500,23786,846,139200,28689,0.215517241,0.687272727,0.206129656,51,72091,4072
48453002105,639,79600,26194,773,209300,26639,0.20970266,1.629396985,0.016988623,42,12746,4836
48453002104,776,90100,41419,938,213400,57500,0.208762887,1.368479467,0.388251769,58,10070,11367
48453002112,670,84400,31726,807,142700,36003,0.204477612,0.690758294,0.134810565,79,11885,5112
48491020406,804.9940635,156898.7212,42459.70043,967,187500,47045,0.201251095,0.195038421,0.107991802,42,17365,3810
48209010901,1063,156500,79984,1276,225900,118750,0.200376294,0.443450479,0.484671934,303,9959,10699
48453001756,1006.117131,151359.9681,65604.92522,1200,238600,78011,0.192704073,0.57637454,0.189102796,181,7971,16081
48453001707,798.6442735,190020.1586,51294.46292,951,314500,70889,0.190767945,0.655087557,0.382001019,89,19889,12363
48453001749,905.0291408,127478.7539,50634.6257,1077,207400,54531,0.19001693,0.626937773,0.076950787,40,10188,10577
48453002429,805.9978297,73899.85767,42114.90427,957,172500,37460,0.18734811,1.334239949,-0.110528668,138,53193,24132
48453001403,632,122100,40491,750,267400,39496,0.186708861,1.19000819,-0.024573362,76,22363,2865
48453001501,870,169000,64543,1032,324200,66295,0.186206897,0.918343195,0.027144694,90,13649,7300
48453001786,938.9977969,103101.0796,51522.52465,1113,154700,56141,0.185306295,0.500469254,0.089639927,67,9224,9202
48453001850,789.0003953,87500.06036,41646.02632,933,134100,39048,0.182508913,0.532570371,-0.062383534,59,4476,4567
48453001823,709,78800,32010,838,116200,29967,0.181946403,0.474619289,-0.063823805,71,6092,4015
48453002500,923.6134466,184708.3243,61221.50899,1087,297600,59392,0.17689928,0.61118889,-0.029883435,44,13470,4305
48453001761,906.0419918,400687.6944,127760.8539,1066,639800,126476,0.17654591,0.596754802,-0.01005671,59,47320,19831
48453001769,957.0085787,117314.8969,60903.06488,1124,199200,76132,0.174493129,0.697994076,0.250052032,110,13755,7346
48453002410,727,81000,32729,853,137000,34758,0.173314993,0.691358025,0.06199395,33,5647,8121
48453001713,804.0154206,93799.03449,49759.3637,942,174900,50643,0.17161932,0.864624737,0.017758191,50,7053,6738
48491020403,838.1662698,121099.9076,52982.51372,981,176900,58229,0.170412167,0.460777332,0.099022978,92,8691,14333
48453001840,993.3386417,107143.3331,53764.42792,1161,129400,53161,0.1687857,0.207727968,-0.011223553,99,4911,7196
48453001848,884.3726195,135221.328,58773.88549,1031,217100,51201,0.165798191,0.605515958,-0.128847794,64,8881,9772
48453001806,608,78700,29047,708,116100,26936,0.164473684,0.475222363,-0.072675319,54,6027,5203
48453001845,827,128400,51483,962,180100,62625,0.163240629,0.402647975,0.216420954,39,13293,11461
48453001832,746,111300,49570,867,158300,44184,0.162198391,0.42228212,-0.108654428,106,4105,4225
48491020405,802.0146875,109315.0422,50058.07316,932,170000,50266,0.162073481,0.555138219,0.004153712,30,9584,9053
48453002419,724,70800,33022,839,-,29115,0.158839779,,-0.118315063,25,**,1505
48453002424,787,84400,41711,910,145700,44401,0.156289708,0.726303318,0.064491381,84,9212,5057
48453001748,964,141400,65489,1112,213800,78783,0.153526971,0.512022631,0.202995923,56,10605,7867
48453002407,1015.998001,134399.956,67762.88752,1168,208100,78554,0.149608561,0.548363602,0.159248121,91,10551,5196
48453001752,728,99200,31828,827,143800,31126,0.135989011,0.449596774,-0.022056051,63,13033,8366
48453001820,631,92800,32367,715,130300,31971,0.133122029,0.404094828,-0.012234683,17,9295,2497
48453001826,919.0002647,155900.0371,51071.01696,1033,207800,60231,0.124047554,0.332905391,0.179357757,54,24366,11875
48453001844,824,97300,49441,921,141000,45441,0.117718447,0.449126413,-0.080904512,43,6356,9081
48453001706,871.6846116,221538.0075,64524.92138,974,311300,63534,0.117376614,0.405176491,-0.015357189,61,34953,11041
48453001812,662.9979971,62202.46024,25174.71288,735,119100,26244,0.108600634,0.914715263,0.04247465,21,15531,2365
48453002108,619,81600,32253,685,136000,29770,0.106623586,0.666666667,-0.076985087,100,10303,5254
48453001750,893.766124,116473.8605,50752.94342,984,219500,60395,0.100959159,0.884543013,0.189980244,39,10188,8173
48453001811,598.962594,87927.1702,32916.15616,657,129700,34112,0.096896545,0.475084433,0.036329997,33,13209,7089
48453001910,1196.585096,288817.1683,84955.22911,1312,584300,103750,0.09645357,1.02307918,0.221231478,112,49776,26830
48491020408,1011.674145,120882.0262,61856.65633,1100,169500,60481,0.087306625,0.402193571,-0.022239423,66,8031,10629
48453001754,798.3813907,137475.9991,56316.68377,867,244000,59464,0.085947155,0.774855259,0.055886036,89,13834,9716
48491020316,1029,128700,72118,1113,186300,75625,0.081632653,0.447552448,0.048628636,65,21322,18161
48453001746,822,126700,51913,889,188100,60953,0.081508516,0.484609313,0.174137499,122,6884,5151
48453001851,828,137600,63925,895,177600,53299,0.080917874,0.290697674,-0.166226046,42,4957,2856
48453000801,708,61700,35478,764,157700,40536,0.079096045,1.555915721,0.142567225,268,14947,6637
48453001863,730.0296734,89314.92309,40040.3864,787,140600,30596,0.078038371,0.574205017,-0.23587151,22,6795,2473
48453001753,921.4503497,175699.1361,70274.50799,992,-,59022,0.076563702,,-0.160122188,39,**,3521
48453001829,856,99600,45821,921,177100,54308,0.075934579,0.77811245,0.18522075,34,9217,8940
48453001842,1040.60303,99846.38978,54956.69103,1119,139700,58382,0.075338018,0.399149236,0.062327424,96,7606,9091
48453001777,1055,109000,59813,1134,177200,67321,0.074881517,0.625688073,0.125524552,87,15469,8358
48453002427,806,73900,42115,866,89300,41199,0.074441687,0.208389716,-0.02174997,60,18279,3347
48453001839,849.9932249,119496.1576,65784.33023,913,155900,58655,0.074126209,0.30464446,-0.108374292,72,5121,10178
48491020410,873,139800,69368,929,196400,46038,0.064146621,0.404864092,-0.336322224,61,16579,4000
48453001849,875.0000232,112500.0047,47591.00144,929,-,53986,0.061714258,,0.134374112,31,**,8193
48453001914,1089,184300,73814,1154,348900,85792,0.059687787,0.893109061,0.16227274,49,16191,4060
48491020409,1011.999429,120900.014,61875.02391,1071,192900,62799,0.058300993,0.595533314,0.014932941,66,8268,7952
48453001722,852.0004334,264000.0823,46591.03312,890,377800,49609,0.044600408,0.43106016,0.064775702,41,36715,9354
48491020318,1029.348576,128629.4591,72101.4338,1075,180800,69879,0.04434982,0.405587812,-0.030823712,179,6794,12153
48491020504,920.9960684,84499.77756,48554.84984,944,109000,43355,0.024977231,0.289944224,-0.107092285,39,3482,2611
48453002211,614,66500,37111,626,139900,44795,0.019543974,1.103759398,0.207054512,166,22212,9834
48453001915,1088.984578,184295.3542,73812.10438,1104,187700,52356,0.013788461,0.018473856,-0.290685445,108,31439,30996
48453001705,1201.860921,274580.3551,80985.93246,1209,443300,104375,0.005940021,0.614463641,0.288804078,61,28563,28448
48453002432,684.9985046,90199.80309,41368.90969,688,114300,37500,0.004381755,0.267186802,-0.093522158,251,35646,10054
48453001843,1088,99500,55990,1087,145700,78929,-0.000919118,0.464321608,0.40969816,87,8015,5434
