2000GEOID,Area2000 (Sq Mi),2012GEOID,Area2012 (Sq Mi),IntersectioNArea (Sq Mi),% of 2000 tract covering 2012 tract
48453002201,2.026971324,48453002113,0.792745094,0.003254204,0.004104982
48453001805,0.591657912,48453001804,0.84721843,0.003363222,0.003969722
48453001750,2.345378253,48453001749,1.649320924,0.006488724,0.003934179
48453001305,1.211511797,48453001100,1.033596117,0.004056956,0.003925089
48453002206,84.91719526,48453002212,11.63302039,0.037588148,0.00323116
48453001812,0.900974852,48453001813,1.36811768,0.004367889,0.003192626
48453002310,7.176718667,48453980000,6.750220539,0.02120382,0.003141204
48453001504,1.019913797,48453001818,0.994919051,0.003114464,0.003130369
48453001100,1.043001336,48453001402,0.525275674,0.001586251,0.003019846
48453000102,2.179282619,48453000101,1.20709969,0.00346306,0.00286891
48453001200,0.97262521,48453001911,1.292505589,0.003529915,0.002731064
48453001200,0.97262521,48453001305,1.212279255,0.003120793,0.002574318
48453001738,1.918508006,48453001737,3.318696191,0.008440117,0.002543203
48453000802,0.662148877,48453000901,0.334779029,0.000835851,0.002496723
48453001840,3.505505387,48453001841,3.710221041,0.008959734,0.002414879
48453002307,0.822976527,48453002308,1.235715583,0.002774267,0.002245069
48453002303,6.981109517,48453002435,18.88069963,0.039556166,0.002095058
48453001760,13.30676435,48453001765,31.12652599,0.063368111,0.002035823
48453001602,1.102459403,48453001910,2.681039534,0.005289716,0.001973009
48453002411,1.530465623,48453002403,1.022628355,0.001928822,0.001886142
48453001715,2.29878431,48453001756,0.823371178,0.001523696,0.001850558
48453001909,7.715185059,48453001750,2.344276773,0.004318524,0.001842156
48453001837,108.0409681,48453002212,11.63302039,0.021331791,0.001833728
48453002003,0.777851674,48453002402,1.381367727,0.002451899,0.001774979
48453002312,1.712271162,48453002431,7.775102964,0.01341765,0.00172572
48453000301,1.031966052,48453000203,0.466916789,0.000722904,0.00154825
48453001716,8.047442106,48453001714,6.798979584,0.010264846,0.001509763
48453001837,108.0409681,48453002202,4.965442806,0.007421615,0.001494653
48453001100,1.043001336,48453001305,1.212279255,0.001703621,0.001405304
48453001752,0.363392807,48453001718,1.360389403,0.00189549,0.001393343
48453001761,11.48550346,48453001716,8.04687172,0.010571137,0.001313695
48453001402,0.525024543,48453001100,1.033596117,0.001335312,0.001291909
48453002417,46.22769819,48453002426,5.427609982,0.006308761,0.001162346
48491020309,18.66749434,48491020509,1.772904383,0.001989945,0.001122421
48453002420,3.931976945,48453002421,3.162952721,0.003456486,0.001092804
48453001715,2.29878431,48453001755,2.870082921,0.003080527,0.001073323
48491020308,4.49627437,48491020311,2.823570942,0.002808219,0.000994563
48491020405,1.15936533,48491020408,1.241946708,0.001233234,0.000992985
48491020402,3.187881813,48491020403,0.605695174,0.000576358,0.000951565
48491020402,3.187881813,48491020503,5.947052372,0.005623324,0.000945565
48453001841,3.703224159,48453001840,3.516607471,0.003287827,0.000934943
48491020404,0.580377838,48491020318,2.777000213,0.00244934,0.000882009
48453001401,0.520387893,48453001100,1.033596117,0.000906248,0.000876791
48453001739,1.808364128,48453001738,1.911250176,0.00165385,0.000865324
48453002313,0.937012199,48453002431,7.775102964,0.006659725,0.000856545
48491020503,5.964957072,48491020510,2.890411909,0.002433399,0.000841887
48453001842,11.76442424,48453001834,6.011838104,0.005015173,0.000834216
48453001908,12.44906205,48453001737,3.318696191,0.002756164,0.000830496
48453002416,68.42659112,48453002432,17.16953194,0.012562934,0.000731699
48453001851,2.908688158,48453001863,0.587721349,0.000409653,0.000697018
48491020407,5.076355497,48453001785,1.436639457,0.000910778,0.000633964
48453000700,0.620871609,48453000803,0.557885719,0.000345234,0.000618826
48453001738,1.918508006,48453001776,0.774247989,0.000471562,0.000609058
48491020502,6.567852215,48491020317,3.914959822,0.00228055,0.000582522
48453001200,0.97262521,48453001602,1.11352267,0.000628302,0.000564247
48453002003,0.777851674,48453002002,0.596713574,0.000324985,0.000544624
48453001837,108.0409681,48453001834,6.011838104,0.003203923,0.000532936
48491020309,18.66749434,48491020316,1.719357549,0.000825591,0.000480174
48453002307,0.822976527,48453002403,1.022628355,0.000481257,0.000470608
48453001749,1.643413749,48453001750,2.344276773,0.001068389,0.000455744
48453001769,3.471176852,48453001737,3.318696191,0.001500566,0.000452155
48453001706,0.925166661,48453001705,2.060228346,0.00086277,0.000418774
48453001909,7.715185059,48453001749,1.649320924,0.000665151,0.000403288
48453000802,0.662148877,48453002109,1.080069078,0.000429944,0.000398071
48491020502,6.567852215,48491020503,5.947052372,0.002359007,0.000396668
48453001842,11.76442424,48453001841,3.710221041,0.001324974,0.000357114
48453001834,6.077058491,48453002201,2.02446281,0.000681168,0.000336468
48453002417,46.22769819,48453980000,6.750220539,0.002245538,0.000332661
48453001719,1.998042577,48453000102,2.176451365,0.000630903,0.000289877
48453001603,0.990735784,48453000101,1.20709969,0.000337847,0.000279883
48453001837,108.0409681,48453001842,11.82813793,0.002624564,0.000221892
48453002111,2.662870658,48453002208,4.999653975,0.000891551,0.000178322
48453001837,108.0409681,48453002209,26.4838561,0.004703637,0.000177604
48453002206,84.91719526,48453002208,4.999653975,0.000821078,0.000164227
48453001846,2.195483472,48453001847,1.180618786,0.000187749,0.000159026
48453001744,2.240012353,48491020411,4.064886555,0.00058307,0.000143441
48453001840,3.505505387,48453001857,2.747583401,0.000378145,0.000137628
48453002409,0.516007403,48453001713,0.996774231,0.000130555,0.000130978
48453001715,2.29878431,48491020405,1.158301999,0.000151132,0.000130477
48453001743,12.83574178,48453001912,5.833042771,0.000734429,0.000125908
48453001835,0.993476945,48453001839,3.166210502,0.000360794,0.000113951
48453001733,8.719715893,48453001769,3.469607991,0.000337387,9.72406E-05
48453001852,2.651635005,48453001851,2.887952157,0.000246627,8.53985E-05
48453001716,8.047442106,48453001761,11.4751867,0.000877355,7.64567E-05
48453001749,1.643413749,48453001915,2.402475975,0.000178307,7.42178E-05
48453001733,8.719715893,48453001770,5.18001271,0.000354216,6.83814E-05
48453001000,0.907246415,48453001100,1.033596117,6.88793E-05,6.66404E-05
48453001834,6.077058491,48453001856,23.81054746,0.00152773,6.41619E-05
48453001768,83.22084592,48453001733,8.717229792,0.000554287,6.35852E-05
48453001813,1.363801093,48453001812,0.896658295,5.1161E-05,5.70574E-05
48453002202,4.958731337,48453002212,11.63302039,0.000634146,5.45125E-05
48453001761,11.48550346,48453001760,13.24401735,0.000624324,4.71401E-05
48453001908,12.44906205,48453001768,83.21637121,0.003695464,4.44079E-05
48491020309,18.66749434,48491020318,2.777000213,9.61471E-05,3.46226E-05
48453002303,6.981109517,48453002310,7.155735031,0.000241575,3.37597E-05
48453002113,0.789555975,48453002201,2.02446281,6.47435E-05,3.19806E-05
48453001733,8.719715893,48453001768,83.21637121,0.002595905,3.11946E-05
48491020407,5.076355497,48453001786,0.85798836,2.58477E-05,3.01259E-05
48453000500,0.444589877,48453000401,0.842673065,2.52215E-05,2.99303E-05
48453001769,3.471176852,48453001733,8.717229792,0.000246136,2.82356E-05
48453002422,1.53537484,48453002421,3.162952721,8.34585E-05,2.63863E-05
48491020308,4.49627437,48491020317,3.914959822,0.000100954,2.57868E-05
48453002417,46.22769819,48453002411,1.528722031,3.33774E-05,2.18335E-05
48453000201,1.154891805,48453000203,0.466916789,9.10694E-06,1.95044E-05
48453001811,0.55374781,48453001834,6.011838104,0.000114761,1.90892E-05
48453001908,12.44906205,48453001769,3.469607991,6.39933E-05,1.8444E-05
48453001769,3.471176852,48453001908,12.49626502,0.000218592,1.74926E-05
48491020402,3.187881813,48491020405,1.158301999,1.86707E-05,1.6119E-05
48453001732,17.06126084,48453002407,5.922786161,7.00127E-05,1.18209E-05
48453000604,0.260490387,48453001605,0.731441441,7.93505E-06,1.08485E-05
48453002313,0.937012199,48453002312,1.69888884,1.81797E-05,1.0701E-05
48453002417,46.22769819,48453002312,1.69888884,1.65231E-05,9.72583E-06
48453002205,19.19672259,48453002209,26.4838561,0.000253084,9.55618E-06
48453002310,7.176718667,48453002111,2.661999873,2.07656E-05,7.80075E-06
48453002307,0.822976527,48453002313,0.939062161,7.2946E-06,7.76797E-06
48453000402,0.596276875,48453000401,0.842673065,5.02908E-06,5.96801E-06
48453002416,68.42659112,48453002319,0.214528222,1.24714E-06,5.81343E-06
48453000601,0.429846589,48453000603,0.305066992,1.19012E-06,3.90117E-06
48453002202,4.958731337,48453001856,23.81054746,7.6001E-05,3.19191E-06
48453002424,1.069236608,48453002423,1.00617873,2.40255E-06,2.38779E-06
48453000500,0.444589877,48453000601,0.429846385,9.87028E-07,2.29623E-06
